#TYPE System.IO.FileInfo
"PSPath","PSParentPath","PSChildName","PSDrive","PSProvider","PSIsContainer","VersionInfo","BaseName","Mode","Name","Length","DirectoryName","Directory","IsReadOnly","Exists","FullName","Extension","CreationTime","CreationTimeUtc","LastAccessTime","LastAccessTimeUtc","LastWriteTime","LastWriteTimeUtc","Attributes"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\jloerakker\locationbarcodes2\1568 - CR - Steamboat.png","Microsoft.PowerShell.Core\FileSystem::C:\Users\jloerakker\locationbarcodes2","1568 - CR - Steamboat.png","C","Microsoft.PowerShell.Core\FileSystem","False","File:             C:\Users\jloerakker\locationbarcodes2\1568 - CR - Steamboat.png
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","1568 - CR - Steamboat","-a---","1568 - CR - Steamboat.png","873","C:\Users\jloerakker\locationbarcodes2","C:\Users\jloerakker\locationbarcodes2","False","True","C:\Users\jloerakker\locationbarcodes2\1568 - CR - Steamboat.png",".png","3/20/2014 5:55:32 PM","3/20/2014 9:55:32 PM","3/20/2014 5:55:32 PM","3/20/2014 9:55:32 PM","3/20/2014 5:55:32 PM","3/20/2014 9:55:32 PM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\jloerakker\locationbarcodes2\1568 - CR - Stowe.png","Microsoft.PowerShell.Core\FileSystem::C:\Users\jloerakker\locationbarcodes2","1568 - CR - Stowe.png","C","Microsoft.PowerShell.Core\FileSystem","False","File:             C:\Users\jloerakker\locationbarcodes2\1568 - CR - Stowe.png
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","1568 - CR - Stowe","-a---","1568 - CR - Stowe.png","769","C:\Users\jloerakker\locationbarcodes2","C:\Users\jloerakker\locationbarcodes2","False","True","C:\Users\jloerakker\locationbarcodes2\1568 - CR - Stowe.png",".png","3/20/2014 5:55:32 PM","3/20/2014 9:55:32 PM","3/20/2014 5:55:32 PM","3/20/2014 9:55:32 PM","3/20/2014 5:55:32 PM","3/20/2014 9:55:32 PM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\jloerakker\locationbarcodes2\1568 - CR - Sundance.png","Microsoft.PowerShell.Core\FileSystem::C:\Users\jloerakker\locationbarcodes2","1568 - CR - Sundance.png","C","Microsoft.PowerShell.Core\FileSystem","False","File:             C:\Users\jloerakker\locationbarcodes2\1568 - CR - Sundance.png
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","1568 - CR - Sundance","-a---","1568 - CR - Sundance.png","866","C:\Users\jloerakker\locationbarcodes2","C:\Users\jloerakker\locationbarcodes2","False","True","C:\Users\jloerakker\locationbarcodes2\1568 - CR - Sundance.png",".png","3/20/2014 5:55:32 PM","3/20/2014 9:55:32 PM","3/20/2014 5:55:32 PM","3/20/2014 9:55:32 PM","3/20/2014 5:55:32 PM","3/20/2014 9:55:32 PM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\jloerakker\locationbarcodes2\1568 - CR - Training Room.png","Microsoft.PowerShell.Core\FileSystem::C:\Users\jloerakker\locationbarcodes2","1568 - CR - Training Room.png","C","Microsoft.PowerShell.Core\FileSystem","False","File:             C:\Users\jloerakker\locationbarcodes2\1568 - CR - Training Room.png
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","1568 - CR - Training Room","-a---","1568 - CR - Training Room.png","964","C:\Users\jloerakker\locationbarcodes2","C:\Users\jloerakker\locationbarcodes2","False","True","C:\Users\jloerakker\locationbarcodes2\1568 - CR - Training Room.png",".png","3/20/2014 5:55:32 PM","3/20/2014 9:55:32 PM","3/20/2014 5:55:32 PM","3/20/2014 9:55:32 PM","3/20/2014 5:55:32 PM","3/20/2014 9:55:32 PM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\jloerakker\locationbarcodes2\1568 - CR - Whistler.png","Microsoft.PowerShell.Core\FileSystem::C:\Users\jloerakker\locationbarcodes2","1568 - CR - Whistler.png","C","Microsoft.PowerShell.Core\FileSystem","False","File:             C:\Users\jloerakker\locationbarcodes2\1568 - CR - Whistler.png
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","1568 - CR - Whistler","-a---","1568 - CR - Whistler.png","851","C:\Users\jloerakker\locationbarcodes2","C:\Users\jloerakker\locationbarcodes2","False","True","C:\Users\jloerakker\locationbarcodes2\1568 - CR - Whistler.png",".png","3/20/2014 5:55:32 PM","3/20/2014 9:55:32 PM","3/20/2014 5:55:32 PM","3/20/2014 9:55:32 PM","3/20/2014 5:55:32 PM","3/20/2014 9:55:32 PM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\jloerakker\locationbarcodes2\1568 - CR - Whitetail.png","Microsoft.PowerShell.Core\FileSystem::C:\Users\jloerakker\locationbarcodes2","1568 - CR - Whitetail.png","C","Microsoft.PowerShell.Core\FileSystem","False","File:             C:\Users\jloerakker\locationbarcodes2\1568 - CR - Whitetail.png
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","1568 - CR - Whitetail","-a---","1568 - CR - Whitetail.png","847","C:\Users\jloerakker\locationbarcodes2","C:\Users\jloerakker\locationbarcodes2","False","True","C:\Users\jloerakker\locationbarcodes2\1568 - CR - Whitetail.png",".png","3/20/2014 5:55:32 PM","3/20/2014 9:55:32 PM","3/20/2014 5:55:32 PM","3/20/2014 9:55:32 PM","3/20/2014 5:55:32 PM","3/20/2014 9:55:32 PM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\jloerakker\locationbarcodes2\1568 - CUBES - 100.png","Microsoft.PowerShell.Core\FileSystem::C:\Users\jloerakker\locationbarcodes2","1568 - CUBES - 100.png","C","Microsoft.PowerShell.Core\FileSystem","False","File:             C:\Users\jloerakker\locationbarcodes2\1568 - CUBES - 100.png
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","1568 - CUBES - 100","-a---","1568 - CUBES - 100.png","799","C:\Users\jloerakker\locationbarcodes2","C:\Users\jloerakker\locationbarcodes2","False","True","C:\Users\jloerakker\locationbarcodes2\1568 - CUBES - 100.png",".png","3/20/2014 5:55:32 PM","3/20/2014 9:55:32 PM","3/20/2014 5:55:32 PM","3/20/2014 9:55:32 PM","3/20/2014 5:55:32 PM","3/20/2014 9:55:32 PM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\jloerakker\locationbarcodes2\1568 - CUBES - 101.png","Microsoft.PowerShell.Core\FileSystem::C:\Users\jloerakker\locationbarcodes2","1568 - CUBES - 101.png","C","Microsoft.PowerShell.Core\FileSystem","False","File:             C:\Users\jloerakker\locationbarcodes2\1568 - CUBES - 101.png
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","1568 - CUBES - 101","-a---","1568 - CUBES - 101.png","798","C:\Users\jloerakker\locationbarcodes2","C:\Users\jloerakker\locationbarcodes2","False","True","C:\Users\jloerakker\locationbarcodes2\1568 - CUBES - 101.png",".png","3/20/2014 5:55:32 PM","3/20/2014 9:55:32 PM","3/20/2014 5:55:32 PM","3/20/2014 9:55:32 PM","3/20/2014 5:55:32 PM","3/20/2014 9:55:32 PM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\jloerakker\locationbarcodes2\1568 - CUBES - 200.png","Microsoft.PowerShell.Core\FileSystem::C:\Users\jloerakker\locationbarcodes2","1568 - CUBES - 200.png","C","Microsoft.PowerShell.Core\FileSystem","False","File:             C:\Users\jloerakker\locationbarcodes2\1568 - CUBES - 200.png
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","1568 - CUBES - 200","-a---","1568 - CUBES - 200.png","796","C:\Users\jloerakker\locationbarcodes2","C:\Users\jloerakker\locationbarcodes2","False","True","C:\Users\jloerakker\locationbarcodes2\1568 - CUBES - 200.png",".png","3/20/2014 5:55:32 PM","3/20/2014 9:55:32 PM","3/20/2014 5:55:32 PM","3/20/2014 9:55:32 PM","3/20/2014 5:55:32 PM","3/20/2014 9:55:32 PM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\jloerakker\locationbarcodes2\1568 - CUBES - 201.png","Microsoft.PowerShell.Core\FileSystem::C:\Users\jloerakker\locationbarcodes2","1568 - CUBES - 201.png","C","Microsoft.PowerShell.Core\FileSystem","False","File:             C:\Users\jloerakker\locationbarcodes2\1568 - CUBES - 201.png
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","1568 - CUBES - 201","-a---","1568 - CUBES - 201.png","796","C:\Users\jloerakker\locationbarcodes2","C:\Users\jloerakker\locationbarcodes2","False","True","C:\Users\jloerakker\locationbarcodes2\1568 - CUBES - 201.png",".png","3/20/2014 5:55:32 PM","3/20/2014 9:55:32 PM","3/20/2014 5:55:32 PM","3/20/2014 9:55:32 PM","3/20/2014 5:55:32 PM","3/20/2014 9:55:32 PM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\jloerakker\locationbarcodes2\1568 - CUBES - Compliance.png","Microsoft.PowerShell.Core\FileSystem::C:\Users\jloerakker\locationbarcodes2","1568 - CUBES - Compliance.png","C","Microsoft.PowerShell.Core\FileSystem","False","File:             C:\Users\jloerakker\locationbarcodes2\1568 - CUBES - Compliance.png
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","1568 - CUBES - Compliance","-a---","1568 - CUBES - Compliance.png","960","C:\Users\jloerakker\locationbarcodes2","C:\Users\jloerakker\locationbarcodes2","False","True","C:\Users\jloerakker\locationbarcodes2\1568 - CUBES - Compliance.png",".png","3/20/2014 5:55:32 PM","3/20/2014 9:55:32 PM","3/20/2014 5:55:32 PM","3/20/2014 9:55:32 PM","3/20/2014 5:55:32 PM","3/20/2014 9:55:32 PM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\jloerakker\locationbarcodes2\1568 - FLOOR - 01.png","Microsoft.PowerShell.Core\FileSystem::C:\Users\jloerakker\locationbarcodes2","1568 - FLOOR - 01.png","C","Microsoft.PowerShell.Core\FileSystem","False","File:             C:\Users\jloerakker\locationbarcodes2\1568 - FLOOR - 01.png
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","1568 - FLOOR - 01","-a---","1568 - FLOOR - 01.png","755","C:\Users\jloerakker\locationbarcodes2","C:\Users\jloerakker\locationbarcodes2","False","True","C:\Users\jloerakker\locationbarcodes2\1568 - FLOOR - 01.png",".png","3/20/2014 5:55:32 PM","3/20/2014 9:55:32 PM","3/20/2014 5:55:32 PM","3/20/2014 9:55:32 PM","3/20/2014 5:55:32 PM","3/20/2014 9:55:32 PM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\jloerakker\locationbarcodes2\1568 - FLOOR - 02.png","Microsoft.PowerShell.Core\FileSystem::C:\Users\jloerakker\locationbarcodes2","1568 - FLOOR - 02.png","C","Microsoft.PowerShell.Core\FileSystem","False","File:             C:\Users\jloerakker\locationbarcodes2\1568 - FLOOR - 02.png
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","1568 - FLOOR - 02","-a---","1568 - FLOOR - 02.png","765","C:\Users\jloerakker\locationbarcodes2","C:\Users\jloerakker\locationbarcodes2","False","True","C:\Users\jloerakker\locationbarcodes2\1568 - FLOOR - 02.png",".png","3/20/2014 5:55:32 PM","3/20/2014 9:55:32 PM","3/20/2014 5:55:32 PM","3/20/2014 9:55:32 PM","3/20/2014 5:55:32 PM","3/20/2014 9:55:32 PM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\jloerakker\locationbarcodes2\1568 - FLOOR - 03.png","Microsoft.PowerShell.Core\FileSystem::C:\Users\jloerakker\locationbarcodes2","1568 - FLOOR - 03.png","C","Microsoft.PowerShell.Core\FileSystem","False","File:             C:\Users\jloerakker\locationbarcodes2\1568 - FLOOR - 03.png
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","1568 - FLOOR - 03","-a---","1568 - FLOOR - 03.png","763","C:\Users\jloerakker\locationbarcodes2","C:\Users\jloerakker\locationbarcodes2","False","True","C:\Users\jloerakker\locationbarcodes2\1568 - FLOOR - 03.png",".png","3/20/2014 5:55:32 PM","3/20/2014 9:55:32 PM","3/20/2014 5:55:32 PM","3/20/2014 9:55:32 PM","3/20/2014 5:55:32 PM","3/20/2014 9:55:32 PM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\jloerakker\locationbarcodes2\1568 - FLOOR - 04.png","Microsoft.PowerShell.Core\FileSystem::C:\Users\jloerakker\locationbarcodes2","1568 - FLOOR - 04.png","C","Microsoft.PowerShell.Core\FileSystem","False","File:             C:\Users\jloerakker\locationbarcodes2\1568 - FLOOR - 04.png
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","1568 - FLOOR - 04","-a---","1568 - FLOOR - 04.png","764","C:\Users\jloerakker\locationbarcodes2","C:\Users\jloerakker\locationbarcodes2","False","True","C:\Users\jloerakker\locationbarcodes2\1568 - FLOOR - 04.png",".png","3/20/2014 5:55:32 PM","3/20/2014 9:55:32 PM","3/20/2014 5:55:32 PM","3/20/2014 9:55:32 PM","3/20/2014 5:55:32 PM","3/20/2014 9:55:32 PM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\jloerakker\locationbarcodes2\1568 - OFFICE - 04.png","Microsoft.PowerShell.Core\FileSystem::C:\Users\jloerakker\locationbarcodes2","1568 - OFFICE - 04.png","C","Microsoft.PowerShell.Core\FileSystem","False","File:             C:\Users\jloerakker\locationbarcodes2\1568 - OFFICE - 04.png
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","1568 - OFFICE - 04","-a---","1568 - OFFICE - 04.png","782","C:\Users\jloerakker\locationbarcodes2","C:\Users\jloerakker\locationbarcodes2","False","True","C:\Users\jloerakker\locationbarcodes2\1568 - OFFICE - 04.png",".png","3/20/2014 5:55:32 PM","3/20/2014 9:55:32 PM","3/20/2014 5:55:32 PM","3/20/2014 9:55:32 PM","3/20/2014 5:55:32 PM","3/20/2014 9:55:32 PM","Archive"
